latitude,ad_fert_rate,hdi_rank,longitude,country,continent
15.78347273,107.2,133,-90.23075909,Guatemala,North America
2.346745455,122.8,117,9.889027273,Equatorial Guinea,Africa
16.00173636,94.9,118,-24.01333182,Cape Verde,Africa
21.12572273,68.1,119,82.76238182,India,Asia
-8.801813637,53.8,120,125.6773455,Timor-Leste,Asia
-26.52236364,83.9,141,31.46586818,Swaziland,Africa
18.495138,37.4,122,103.774108886,Lao People's Democratic Republic,Asia
-9.225677273,41.8,123,161.3015682,Solomon Islands,Oceania
12.56567727,39.2,124,104.9914455,Cambodia,Asia
30.37441818,45.7,146,69.34511364,Pakistan,Asia
-0.651945454,112.8,126,14.89213636,Congo,Africa
,66.1,127,,Sao Tome and Principe,Africa
-0.023559091,103.5,128,37.90619091,Kenya,Africa
23.68547727,71.6,129,90.35660909,Bangladesh,Asia
7.941386364,64,130,-1.023054545,Ghana,Africa
7.369581818,127.5,150,12.35468182,Cameroon,Africa
19.19305455,18.4,132,96.68720909,Myanmar,Asia
15.57203182,68.1,160,48.51472273,Yemen,Asia
9.307686364,111.8,134,2.315831818,Benin,Africa
-18.76694545,132.8,135,46.86910909,Madagascar,Africa
21.00804545,90,136,-10.94083182,Mauritania,Africa
-6.498890909,55,137,148.41285,Papua New Guinea,Oceania
28.39654091,101.4,138,84.12337727,Nepal,Asia
8.619540909,64.8,139,0.824018182,Togo,Africa
-11.875,45.7,169,43.87222273,Comoros,Africa
-29.61060909,73.5,158,28.23476364,Lesotho,Africa
9.082172727,126.6,142,8.671077273,Nigeria,Africa
1.373336364,150,143,32.29200909,Uganda,Africa
14.49618182,104.4,144,-14.45135455,Senegal,Africa
19.05711818,46.4,145,-73.04848636,Haiti,North America
-11.20269091,123.7,148,17.90784545,Angola,Africa
11.82527273,23,164,42.59013182,Djibouti,Africa
-6.368818182,130.4,152,34.88881818,Tanzania (United Republic of),Africa
,129.9,168,,Cote d'Ivoire,Africa
-13.13329091,141.8,163,27.84933636,Zambia,Africa
13.44318182,88.1,165,-15.31013636,Gambia,Africa
-1.939968182,36.7,167,29.87385455,Rwanda,Africa
-13.25597727,135.2,170,34.30141818,Malawi,Africa
12.86280455,56.8,171,30.2183,Sudan,Africa
33.93904545,121.3,175,67.70995,Afghanistan,Asia
10.4293022155,152.3,178,-10.98954963684,Guinea,Africa
9.145136364,104.4,173,40.49002273,Ethiopia,Africa
8.460554545,126,177,-11.77995909,Sierra Leone,Africa
17.57121364,162.9,182,-3.996722727,Mali,Africa
12.23923182,130.9,183,-1.561454545,Burkina Faso,Africa
6.428195454,141.6,174,-9.430363636,Liberia,Africa
15.45454545,164.4,184,18.73234545,Chad,Africa
11.80490909,129.2,176,-15.18083182,Guinea-Bissau,Africa
-18.66569545,149.2,185,35.52956364,Mozambique,Africa
-3.374809091,18.6,178,29.91909545,Burundi,Africa
17.60779091,157.4,187,8.081663636,Niger,Africa
-4.038681818,201.4,186,21.75866364,Congo (Democratic Republic of the),Africa
-19.01564545,64.6,172,29.15475455,Zimbabwe,Africa
27.51430455,38.3,140,90.43307727,Bhutan,Asia
21.50798636,45.2,59,-79.54209091,Cuba,North America
15.17938636,66.9,181,39.78233182,Eritrea,Africa
12.11705,42.4,63,-61.69078636,Grenada,North America
33.22266818,85.5,131,43.67769545,Iraq,Asia
33.85479091,16.2,72,35.86228636,Lebanon,Asia
