title,million lines of code,detail,notes,source,link,source 2
iOS app - simple game,0.01,app,10000  LOC. Imangi is a word game app.,iPhoneDevSDK,http://iphonedevsdk.com/forum/iphone-sdk-development/3948-average-time-spent-creating-an-app-poll.html,
Unix v 1.0 (1971),0.01,operating system,10000 LOC,,http://www.thegamersblog.com/10-facts-you-may-not-know-about-world-of-warcraft/,
Win32/Simile virus,0.01,virus,a metamorphic (very complex) computer virus-released 2002 had 14000 LOC,Wikipedia Security Response,http://en.wikipedia.org/wiki/Computer_virus,http://securityresponse.symantec.com/avcenter/reference/simile.pdf
iOS app - photo editing,0.04,app,39924 LOC. Camera Genius is a photo editing app. ,CodeGoo,http://blog.codegoo.com/post/2794720594/whats-involved-in-building-an-iphone-app,
Pacemaker,0.08,hardware,The software in a heart pacemaker. 80000 LOC,Coverity infographic-MathWorks.com,http://insideevs.com/infographic-chevy-volt-has-10-million-lines-of-code-f-22-raptor-only-has-1-7-million/,http://www.mathworks.co.uk/company/newsletters/articles/university-of-pennsylvania-develops-electrophysiological-heart-model-for-real-time-closed-loop-testing-of-pacemakers.html
Photoshop v1 (1990),0.12,app,,Slashdot,http://developers.slashdot.org/story/13/02/14/1323254/for-your-inspection-source-code-for-photoshop-10,
Camino,0.20,web,,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
Quake 3 engine,0.31,computer game,310000 LOC computer game.,Quora,http://www.quora.com/Computer-Programming/About-how-many-lines-of-code-is-a-typical-computer-game-such-as-Starcraft-or-Counter-Strike,
Space Shuttle,0.40,hardware,primary flight software,Nasa,www.nasa.gov/mission_pages/shuttle/.../flyfeature_shuttlecomputers.html‎,
18000 pages of printed text,1.00,text,on typical 20-pound paper would be a stack 6 feet tall,Embedded,http://www.embedded.com/electronics-blogs/break-points/4026827/A-Million-Lines-of-Code,
Crysis ,1.00,game,,Quora,http://www.quora.com/Computer-Programming/About-how-many-lines-of-code-is-a-typical-computer-game-such-as-Starcraft-or-Counter-Strike,
War And Peace x 14. Ulysses x 25. The Catcher in The Rye x 63,1.00,text,,Embedded,http://www.embedded.com/electronics-blogs/break-points/4026827/A-Million-Lines-of-Code,
Syphilis ,1.14,nature,Treponema pallidum. The bacteria that causes Syphilis (1039 genes and 1138011 base pairs),Kimball's Biology Pages,http://users.rcn.com/jkimball.ma.ultranet/BiologyPages/G/GenomeSizes.html,
Age of Empires Online,1.20,game,,Wikipedia,http://en.wikipedia.org/wiki/Age_of_Empires_Online,
CESM Community Earth System Model,1.20,model,Climate model from the National Center for Atmospheric Research,Daily Camera,http://www.dailycamera.com/news/ci_15820781,
