latitude,longitude,country,alcohol per capita
-26.52236364,31.46586818,Swaziland,4.6
62.19973182,17.64017273,Sweden,6
46.81805,8.227609091,Switzerland,10.8
34.80207727,38.99639545,Syrian Arab Republic,0.5
38.86055,71.27609091,Tajikistan,0.4
-6.368818182,34.88881818,Tanzania (United Republic of),5.5
13.04402727,101.4932818,Thailand,5.6
41.60742273,21.74489545,The former Yugoslav Republic of Macedonia,5.7
8.619540909,0.824018182,Togo,1.2
-19.91805909,-174.6334136,Tonga,0.8
10.69295,-61.22121818,Trinidad and Tobago,4.2
33.7874,9.536940909,Tunisia,1.2
38.96421818,35.24318636,Turkey,1.4
38.97108182,58.96053182,Turkmenistan,1.2
1.373336364,32.29200909,Uganda,17.6
48.37887727,31.16509545,Ukraine,6.1
24.35860455,53.98249545,United Arab Emirates,0
55.3993,-3.211109091,United Kingdom,11.8
39.095963,-101.601563,United States,8.6
-32.52024545,-55.76845455,Uruguay,7.7
41.37779091,64.58251818,Uzbekistan,1.5
,,Vanuatu,0.8
6.423331818,-66.59055909,Venezuela (Bolivarian Republic of),6.7
15.9417,105.8027955,Viet Nam,0.9
15.57203182,48.51472273,Yemen,0
-13.13329091,27.84933636,Zambia,2.4
-19.01564545,29.15475455,Zimbabwe,4.4
