Country,Population,GNI per capita ($US 2007),Number of registered vehicles,Road deaths (reported),Road deaths per 100000 (reported),Road deaths per 100000 (estimated)
The Former Yugoslav Republic of Macedonia,2038464,3460,259421,140,6.9,6.9
Timor-Leste,1154775,1510,26649,49,4.2,16.1
Togo,6585147,360,48234,613,9.3,28.1
Tonga,100336,2320,2226,7,7.0,7.0
Trinidad and Tobago,1333272,14100,490987,207,15.5,15.5
Tunisia,10327285,3200,1244918,1497,14.5,34.5
Turkey,74876695,8020,13311000,6022,8.0,13.4
Turkmenistan,4965278,1234,651564,702,14.1,18.6
Tuvalu,10530,2441,906,1,9.5,9.5
Uganda,30883805,340,363658,2838,9.2,24.7
United Arab Emirates,4380439,41082,1754420,1056,24.1,37.1
United Kingdom,60768946,42740,34327520,3298,5.4,5.4
United Republic of Tanzania,40453513,400,577949,2595,6.4,34.3
United States of America,305826246,46040,251422509,42642,13.9,13.9
Uruguay,3339700,6380,952000,145,4.3,4.3
Vanuatu,226180,1840,15461,7,3.1,18.6
Venezuela (Bolivarian Republic of),27656832,7320,4044013,6031,21.8,21.8
Viet Nam,87375196,790,22926230,16640,19.0,16.1
West Bank and Gaza Strip,4018000,1422,78609,188,4.7,4.9
Yemen,22389169,870,777734,3003,13.4,29.3
Zambia,11921999,800,222188,1645,13.8,25.6
Zimbabwe,13349434,131,1556586,1348,10.1,27.5
