NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Total usage,Percentage change,Interchanges
5215,BAT,Battle,TN33 0DE,South East,East Sussex,Rother,UKJ2,Surrey East & West Sussex,Southeastern,431400,-17,0
6870,BLB,Battlesbridge,SS11 7RG,East,Essex,Chelmsford,UKH3,Essex,National Express East Anglia,11844,10,0
1510,BSJ,Bedford St.Johns,MK42 9BT,East,Bedfordshire,Bedford,UKH2,Bedfordshire and Hertforshire,London Midland Trains,10124,-17,0
5538,BDH,Bedhampton,PO9 1LL,South East,Hampshire,Havant,UKJ3,Hampshire and Isle of Wight,South West Trains,249226,115,0
1165,BEH,Bedworth,CV12 8JG,West Midlands,Warwickshire,Nuneaton And Bedworth,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,61130,15,0
3070,BDW,Bedwyn,SN8 5RD,South West,Wiltshire,Kennet,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,106872,13,0
1625,BEE,Beeston,NG9 1JU,East Midlands,Nottinghamshire,Broxtowe,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,540068,12,72564
2785,BLV,Belle Vue,M18 1AA,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,19970,36,0
9895,BLG,Bellgrove,G31 1SG,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,504338,15,21512
5227,BEG,Beltring,TN12 6QH,South East,Kent,Maidstone,UKJ4,Kent,Southeastern,12766,-12,0
7439,BEF,Benfleet,SS7 1NF,East,Essex,Castle Point,UKH3,Essex,c2c,3547130,23,0
2676,BEN,Bentham,LH2 7LJ,Yorkshire And The Humber,North Yorkshire,Craven,UKE2,North Yorkshire,Northern Rail,25016,24,0
1045,BKW,Berkswell,CV7 7EF,West Midlands,West Midlands,Solihull,UKG3,West Midlands,London Midland Trains,235264,25,0
8431,BBW,Berry Brow,HD4 7LP,Yorkshire And The Humber,West Yorkshire,Kirklees,UKE4,West Yorkshire,Northern Rail,27386,-12,0
1003,BSC,Bescot Stadium,WS1 4NH,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,132310,51,0
5472,BTO,Betchworth,RH3 2AD,South East,Surrey,Mole Valley,UKJ2,Surrey East & West Sussex,First Great Western,19878,20,0
2449,BYC,Betws-y-Coed,LL24 0AE,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,38356,18,0
5211,BEX,Bexhill,TN40 1EB,South East,East Sussex,Hastings,UKJ2,Surrey East & West Sussex,Southern,1648310,15,0
3048,BCS,Bicester North,OX26 6EF,South East,Oxfordshire,Cherwell,UKJ1,Berkshire Buckinghamshire and Oxfordshire,Chiltern Railways,1355720,10,0
3104,BIT,Bicester Town,OX26 6HU,South East,Oxfordshire,Cherwell,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,213070,35,0
4618,BBK,Bilbrook,WV8 1LE,West Midlands,Staffordshire,South Staffordshire,UKG2,Shropshire and Staffordshire,London Midland Trains,128572,28,0
3907,BCG,Birchgrove,CF14 4SY,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,21428,14,0
5401,BIK,Birkbeck,BR3 4TA,London,Greater London,Bromley,UKI2,Outer London,Southern,68396,44,0
4513,BBS,Birmingham Bordesley,B9 4HF,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,14134,93,0
