NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Total usage,Percentage change,Interchanges
2811,FNW,Farnworth,BL4 7QZ,North West,Greater Manchester,Bolton,UKD3,Greater Manchester,Northern Rail,44716,21,0
1377,FEN,Fenny Stratford,MK2 2XP,South East,Milton Keynes,Milton Keynes,UKJ1,Berkshire Buckinghamshire and Oxfordshire,London Midland Trains,21312,23,0
3862,FER,Fernhill,CF45 3DP,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,19974,-13,0
3235,FIT,Filton Abbey Wood,BS34 7JW,South West,South Gloucestershire,South Gloucestershire,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,771364,14,0
1445,FNY,Finchley Road & Frognal,NW3 6EP,London,Greater London,Camden,UKI1,Inner London,London Overground,1349424,49,0
6119,FPK,Finsbury Park,N4 2DH,London,Greater London,Islington,UKI1,Inner London,First Capital Connect,6448792,-12,1278866
5284,FSG,Fishersgate,BN4 1LJ,South East,West Sussex,Adur,UKJ2,Surrey East & West Sussex,Southern,105982,12,0
4076,FGH,Fishguard Harbour,SA64 0BU,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,38852,26,0
6351,FSK,Fiskerton,NG25 0TR,East Midlands,Nottinghamshire,Newark And Sherwood,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,11280,15,0
4503,FWY,Five Ways,B15 1SF,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,1344704,28,0
2026,FLM,Flimby,CA15 8QN,North West,Cumbria,Allerdale,UKD1,Cumbria,Northern Rail,15746,23,0
5258,FOD,Ford,BN18 0BH,South East,West Sussex,Arun,UKJ2,Surrey East & West Sussex,Southern,117724,15,99766
6876,FOG,Forest Gate,E7 0NF,London,Greater London,Newham,UKI1,Inner London,National Express East Anglia,2205108,15,0
5362,FOH,Forest Hill,SE23 2LD,London,Greater London,Lewisham,UKI1,Inner London,Southern,4183510,15,0
3344,FFD,Freshford,BA2 7WQ,South West,Bath And North East Somerset,Bath And North East Somerset,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,37286,11,0
2952,FNV,Furness Vale,SK12 7QA,East Midlands,Derbyshire,High Peak,UKF1,Derbyshire and Nottinghamshire,Northern Rail,20302,10,0
2397,GST,Gathurst,WN5 0LW,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,91032,11,0
5416,GTW,Gatwick Airport,RH6 0RD,South East,West Sussex,Crawley,UKJ2,Surrey East & West Sussex,Network Rail,14757940,12,1115495
8117,GBD,Gilberdyke,HU15 2SU,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,50820,12,404
5363,GIP,Gipsy Hill,SE19 1QL,London,Greater London,Lambeth,UKI1,Inner London,Southern,1915066,11,0
7921,GLS,Glaisdale,YO21 2QL,Yorkshire And The Humber,North Yorkshire,Scarborough,UKE2,North Yorkshire,Northern Rail,18564,-13,0
9301,GLT,Glenrothes with Thornton,KY1 4AE,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,57534,12,0
6878,GMY,Goodmayes,IG3 9UH,London,Greater London,Redbridge,UKI2,Outer London,National Express East Anglia,2306444,11,0
2962,GTO,Gorton,M11 1WN,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,135014,11,0
1409,GPO,Gospel Oak,NW5 1LT,London,Greater London,Camden,UKI1,Inner London,London Overground,2198128,46,749437
4131,GWN,Gowerton,SA4 3AJ,Wales - Cymru,Swansea - Abertawe,Swansea - Abertawe,UKL1,West Wales and the Valleys,Arriva Trains Wales,77854,17,0
1965,GOS,Grange-Over-Sands,LA11 6EH,North West,Cumbria,South Lakeland,UKD1,Cumbria,First TransPennine Express,135112,-14,0
3839,GTN,Grangetown (South Glamorgan),CF11 8UY,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,158060,10,0
5514,GRT,Grateley,SP11 8TA,South East,Hampshire,Test Valley,UKJ3,Hampshire and Isle of Wight,South West Trains,238124,10,0
1132,GVH,Gravelly Hill,B23 7NH,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,635590,58,0
3136,GFD,Greenford,UB6 8PX,London,Greater London,Ealing,UKI2,Outer London,London Underground,173868,14,0
9610,GEA,Gretna Green,DG16 5HF,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,36628,11,0
2955,GUI,Guide Bridge,M34 5HF,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,275246,11,3721
5588,GUN,Gunnersbury,W4 4AN,London,Greater London,Hounslow,UKI2,Outer London,London Underground,1788170,29,0
7299,GNT,Gunton,NR11 8UD,East,Norfolk,North Norfolk,UKH1,East Anglia,National Express East Anglia,16742,-11,0
6281,HAB,Habrough,DN40 3AB,Yorkshire And The Humber,North East Lincolnshire,North East Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,33242,11,116
6977,HKC,Hackney Central,E8 1LL,London,Greater London,Hackney,UKI1,Inner London,London Overground,3359640,73,0
6978,HKW,Hackney Wick,E9 5JH,London,Greater London,Hackney,UKI1,Inner London,London Overground,972920,72,874
1022,HGG,Haggerston,E8 4DY ,London,Greater London,Hackney,UKI1,Inner London,London Overground,1172578,130,0
9810,HMY,Hairmyres,G75 8SW,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,542390,10,0
2572,HID,Hall I' Th' Wood,BL1 8UF,North West,Greater Manchester,Bolton,UKD3,Greater Manchester,Northern Rail,109652,27,0
5947,HME,Hamble,SO31 4NL,South East,Hampshire,Eastleigh,UKJ3,Hampshire and Isle of Wight,South West Trains,111302,21,0
1413,HDH,Hampstead Heath,NW3 2QD,London,Greater London,Camden,UKI1,Inner London,London Overground,2154144,56,0
1033,HIA,Hampton-In-Arden,B92 0BJ,West Midlands,West Midlands,Solihull,UKG3,West Midlands,London Midland Trains,115458,19,0
1145,HSD,Hamstead,B42 1NJ,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,238244,60,0
3007,HND,Handborough,OX8 6TF,South East,Oxfordshire,West Oxfordshire,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,136522,15,0
2767,HTH,Handforth,SK9 3AB,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,236798,10,0
1521,HDN,Harlesden,NW10 7AA,London,Greater London,Brent,UKI2,Outer London,London Underground,803402,30,0
6804,HWM,Harlow Mill,CM20 2EL,East,Essex,Harlow,UKH3,Essex,National Express East Anglia,188206,11,0
7401,HRY,Harringay Green Lanes,N4 1DR,London,Greater London,Haringey,UKI1,Inner London,London Overground,762442,52,0
598,HOH,Harrow-On-The-Hill,HA1 1BB,London,Greater London,Harrow,UKI2,Outer London,London Underground,1444386,10,0
9246,HTW,Hartwood,ML7 7DU,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,16710,-11,0
1398,HTE,Hatch End,HA5 4HU,London,Greater London,Harrow,UKI2,Outer London,London Overground,747536,10,0
2826,HSG,Hathersage,S32 1DT,East Midlands,Derbyshire,Derbyshire Dales,UKF1,Derbyshire and Nottinghamshire,Northern Rail,56446,10,0
4594,HTN,Hatton,CV35 7LE,West Midlands,Warwickshire,Warwick,UKG1,Herefordshire Worcestershire and Warwickshire,Chiltern Railways,43936,16,0
1434,HDL,Headstone Lane,HA2 6NB,London,Greater London,Harrow,UKI2,Outer London,London Overground,429452,18,0
6283,HLI,Healing,DN37 7RY,Yorkshire And The Humber,North East Lincolnshire,North East Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,11454,12,0
1148,HNF,Hednesford,WS12 1AZ,West Midlands,Staffordshire,Cannock Chase,UKG2,Shropshire and Staffordshire,London Midland Trains,178112,18,0
7887,HEI,Heighington,DL5 6PX,North East,Durham,Sedgefield,UKC1,Tees Valley and Durham,Northern Rail,11458,21,0
9982,HLU,Helensburgh Upper,G84 9LG,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,14198,-39,0
4524,HNL,Henley-In-Arden,B95 5JH,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,108952,15,0
2138,HSW,Heswall,CH60 1XQ,North West,Merseyside,Wirral,UKD5,Merseyside,Arriva Trains Wales,54630,12,0
9909,HST,High Street,G1 1PZ,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,483560,19,0
6009,HHY,Highbury & Islington,N5 1RA,London,Greater London,Islington,UKI1,Inner London,First Capital Connect,11800800,55,1971257
2398,HIN,Hindley,WN2 2QJ,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,324866,18,8756
1221,HCH,Holmes Chapel,CW4 8AA,North West,Cheshire,Congleton,UKD2,Cheshire,Northern Rail,154526,15,0
5941,HOL,Holton Heath,BH16 6JT,South West,Dorset,Purbeck,UKK2,Dorset and Somerset,South West Trains,42356,35,0
6979,HMN,Homerton,E9 5SB,London,Greater London,Hackney,UKI1,Inner London,London Overground,3020682,63,0
5418,HPA,Honor Oak Park,SE23 1DY,London,Greater London,Lewisham,UKI1,Inner London,Southern,2217322,17,0
2828,HOP,Hope (Derbyshire),S33 6RD,East Midlands,Derbyshire,High Peak,UKF1,Derbyshire and Nottinghamshire,Northern Rail,52440,14,0
8720,HWI,Horwich Parkway,BL6 6LB,North West,Greater Manchester,Bolton,UKD3,Greater Manchester,Northern Rail,586464,14,0
2303,HGN,Hough Green,WA8 7XU,North West,Halton,Halton,UKD2,Cheshire,Northern Rail,186450,13,0
1563,HWW,How Wood (Hertfordshire),AL2 2NG,East,Hertfordshire,St. Albans,UKH2,Bedfordshire and Hertforshire,London Midland Trains,37854,11,0
8071,HOW,Howden,DN14 7SE,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,94634,10,0
1734,HOZ,Howwood,PA9 1AZ,Scotland,Renfrewshire,Renfrewshire,UKM3,South Western Scotland,First ScotRail,47932,16,0
1023,HOX,Hoxton,E2 8FF ,London,Greater London,Hackney,UKI1,Inner London,London Overground,1042854,125,0
2937,HUP,Humphrey Park,M32 9PP,North West,Greater Manchester,Trafford,UKD3,Greater Manchester,Northern Rail,30632,20,0
2558,HCT,Huncoat,BB5 6LT,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,18974,19,0
6310,HKM,Hykeham,LN6 9AT,East Midlands,Lincolnshire,North Kesteven,UKF3,Lincolnshire,East Midlands Trains,34576,36,0
6851,HYH,Hythe,CO2 8JR,East,Essex,Colchester,UKH3,Essex,National Express East Anglia,100426,11,0
9586,IMW,Imperial Wharf,SW6 2ZH ,London,Greater London,Hammersmith and Fulham,UKI1,Inner London,London Overground,1230734,67,0
2236,INC,Ince,WN2 2DA,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,21608,13,0
8648,IGD,Invergordon,IV18 0NJ,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,34566,47,0
8924,INR,Inverurie,AB51 9TN,Scotland,Aberdeenshire,Aberdeenshire,UKM1,North Eastern Scotland,First ScotRail,403948,17,0
2817,IRL,Irlam,M30 5AB,North West,Greater Manchester,Salford,UKD3,Greater Manchester,Northern Rail,224788,10,0
3555,IVY,Ivybridge,PL21 0DQ,South West,Devon,South Hams,UKK4,Devon,First Great Western,86292,29,0
1097,JEQ,Jewellery Quarter,B18 6LE,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,342604,10,0
2605,KSL,Kearsley,M24 1AA,North West,Greater Manchester,Bolton,UKD3,Greater Manchester,Northern Rail,35164,11,0
5038,KSN,Kearsney,CT17 0RN,South East,Kent,Dover,UKJ4,Kent,Southeastern,30238,-16,0
5079,KMS,Kemsing,TN15 6NT,South East,Kent,Sevenoaks,UKJ4,Kent,Southeastern,19134,25,0
9816,KNS,Kennishead,G46 8HP,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,66978,10,0
1447,KNL,Kensal Green,NW10 5JT,London,Greater London,Brent,UKI2,Outer London,London Underground,938836,12,0
1448,KNR,Kensal Rise,NW10 3JN,London,Greater London,Brent,UKI2,Outer London,London Overground,1746296,51,0
3092,KPA,Kensington Olympia,W14 0NE,London,Greater London,Kensington And Chelsea,UKI1,Inner London,London Overground,5936984,157,38962
1449,KTW,Kentish Town West,NW5 3LR,London,Greater London,Camden,UKI1,Inner London,London Overground,1234148,72,0
1399,KNT,Kenton,HA3 0AZ,London,Greater London,Brent,UKI2,Outer London,London Underground,991410,21,0
5593,KWB,Kew Bridge,TW8 9QS,London,Greater London,Hounslow,UKI2,Outer London,South West Trains,986312,13,0
5594,KWG,Kew Gardens,TW9 3BZ,London,Greater London,Richmond Upon Thames,UKI2,Outer London,London Underground,899282,24,0
4581,KID,Kidderminster,DY10 1QZ,West Midlands,Worcestershire,Wyre Forest,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,1450884,12,0
1229,KDG,Kidsgrove,ST7 1BX,West Midlands,Staffordshire,Newcastle-Under-Lyme,UKG2,Shropshire and Staffordshire,East Midlands Trains,158478,12,8308
4132,KWL,Kidwelly,SA17 4UH,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,23552,11,0
1415,KBN,Kilburn High Road,NW6 5UA,London,Greater London,Camden,UKI1,Inner London,London Overground,1657800,30,0
4083,KGT,Kilgetty,SA68 0UF,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,15732,16,0
9512,KMK,Kilmarnock,KA1 2AF,Scotland,East Ayrshire,East Ayrshire,UKM3,South Western Scotland,First ScotRail,587956,13,10851
1109,KNN,King's Norton,B30 3DL,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,1101660,39,0
9817,KGP,King's Park,G44 5UT,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,184778,12,0
5109,KCK,Knockholt,TN14 7HR,London,Greater London,Bromley,UKI2,Outer London,Southeastern,323400,12,0
2848,KNF,Knutsford,WA16 0PA,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,398596,10,0
5504,LKE,Lake,PO36 8PJ,South East,Isle Of Wight,Isle Of Wight,UKJ3,Hampshire and Isle of Wight,South West Trains (Island Line),77772,15,0
1017,LAW,Landywood,WS6 6JE,West Midlands,Staffordshire,South Staffordshire,UKG2,Shropshire and Staffordshire,London Midland Trains,116660,24,0
4607,LGG,Langley Green,B69 4LZ,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,161496,15,0
8931,LAU,Laurencekirk,AB30 1NN,Scotland,Aberdeenshire,Aberdeenshire,UKM1,North Eastern Scotland,First ScotRail,86142,17,0
2669,LAY,Layton,FY2 0SX,North West,Blackpool,Blackpool,UKD4,Lancashire,Northern Rail,63194,14,0
1133,LEH,Lea Hall,B33 8JU,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,453738,70,0
7925,LHM,Lealholm,YO21 2AG,Yorkshire And The Humber,North Yorkshire,Scarborough,UKE2,North Yorkshire,Northern Rail,20010,11,0
5294,LIH,Leigh (Kent),TN11 8RU,South East,Kent,Sevenoaks,UKJ4,Kent,Southern,42766,15,0
3498,LTS,Lelant Saltings,TR26 3DL,South West,Cornwall And Isles Of Scilly,Penwith,UKK3,Cornwall and Isles of Scilly,First Great Western,101284,488,0
2862,LVM,Levenshulme,M19 3PJ,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,434160,17,0
7402,LEM,Leyton Midland Road,E10 6JT,London,Greater London,Waltham Forest,UKI2,Outer London,London Overground,749488,50,0
7403,LER,Leytonstone High Road,E11 4RE,London,Greater London,Waltham Forest,UKI2,Outer London,London Overground,587078,41,0
6340,LCN,Lincoln Central,LN5 7EW,East Midlands,Lincolnshire,Lincoln,UKF3,Lincolnshire,East Midlands Trains,1655324,13,24852
3573,LSK,Liskeard,PL14 4DX,South West,Cornwall And Isles Of Scilly,Caradon,UKK3,Cornwall and Isles of Scilly,First Great Western,344516,11,67791
2156,LTT,Little Sutton,CH66 1PA,North West,Cheshire,Ellesmere Port & Neston,UKD2,Cheshire,Merseyrail,114894,-10,0
7072,LTP,Littleport,CB6 1JL,East,Cambridgeshire,East Cambridgeshire,UKH1,East Anglia,First Capital Connect,199798,12,0
2242,LVC,Liverpool Central,L1 1JT,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,14209241,-21,412269
2246,LIV,Liverpool Lime Street,L1 1JD,North West,Merseyside,Liverpool,UKD5,Merseyside,Network Rail,13835314,17,777639
9709,LSP,Liverpool South Parkway,L19 5NE ,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,733700,14,455027
9371,LSN,Livingston North,EH54 7EE,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,825516,29,0
2467,LPG,Llanfairpwll,LL61 5UJ,Wales - Cymru,Isle Of Anglesey - Sir Ynys Mon,Isle Of Anglesey - Sir Ynys Mon,UKL1,West Wales and the Valleys,Arriva Trains Wales,17826,15,0
2457,LWR,Llanrwst,LL26 0AD,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,16788,18,0
9699,LWM,Llantwit Major,CF61 1ST,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,283084,44,0
9156,LCG,Lochgelly,KY5 9EP,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,62738,14,0
6966,LOF,London Fields,E8 3PH,London,Greater London,Hackney,UKI1,Inner London,National Express East Anglia,458618,23,0
1067,LBK,Long Buckby,NN6 7QA,East Midlands,Northamptonshire,Daventry,UKF2,Leicestershire Rutland and Northamptonshire,London Midland Trains,235480,16,0
1110,LOB,Longbridge,B31 2TW,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,750688,18,0
5674,LNG,Longcross,GU25 4JR,South East,Surrey,Runnymede,UKJ2,Surrey East & West Sussex,South West Trains,12300,15,0
1305,LPT,Longport,ST6 4ND,West Midlands,Stoke-On-Trent,Stoke-On-Trent,UKG2,Shropshire and Staffordshire,East Midlands Trains,37566,22,0
1306,LGN,Longton,ST3 1EZ,West Midlands,Stoke-On-Trent,Stoke-On-Trent,UKG2,Shropshire and Staffordshire,East Midlands Trains,60506,23,0
3574,LOO,Looe,PL13 1HN,South West,Cornwall And Isles Of Scilly,Caradon,UKK3,Cornwall and Isles of Scilly,First Great Western,119648,19,0
2307,LTG,Lostock Gralam,CW9 7NU,North West,Cheshire,Vale Royal,UKD2,Cheshire,Northern Rail,26126,31,0
2689,LOH,Lostock Hall,PR5 5NF,North West,Lancashire,South Ribble,UKD4,Lancashire,Northern Rail,36996,11,0
6202,LOW,Lowdham,NG14 7DU,East Midlands,Nottinghamshire,Newark And Sherwood,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,41656,19,0
4640,LYE,Lye,DY9 8ES,West Midlands,West Midlands,Dudley,UKG3,West Midlands,London Midland Trains,87146,-17,0
5892,LYP,Lymington Pier,SO41 5ZE,South East,Hampshire,New Forest,UKJ3,Hampshire and Isle of Wight,South West Trains,142072,-12,0
5762,LYC,Lympstone Commando,EX8 5AA,South West,Devon,East Devon,UKK4,Devon,First Great Western,38616,-19,0
5853,MDN,Maiden Newton,DT2 0AE,South West,Dorset,West Dorset,UKK2,Dorset and Somerset,First Great Western,19652,-15,0
5237,MDB,Maidstone Barracks,ME16 0SQ,South East,Kent,Maidstone,UKJ4,Kent,Southeastern,117538,-27,21336
5222,MDW,Maidstone West,ME16 8RJ,South East,Kent,Maidstone,UKJ4,Kent,Southeastern,494164,26,35863
2961,MIA,Manchester Airport,M90 3RR,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,First TransPennine Express,3163876,14,13932
2966,MCO,Manchester Oxford Road,M1 6FU,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,8321622,26,577196
2968,MAN,Manchester Piccadilly,M60 7RA,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Network Rail,18584710,-13,3795951
2970,MCV,Manchester Victoria,M3 1PB,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,9829488,56,371630
6856,MNG,Manningtree,CO11 2HH,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,983060,10,320416
6883,MNP,Manor Park,E12 5EP,London,Greater London,Newham,UKI1,Inner London,National Express East Anglia,1593368,12,0
5223,MRN,Marden,TN12 9HS,South East,Kent,Maidstone,UKJ4,Kent,Southeastern,399996,12,0
1034,MGN,Marston Green,B37 7AB,West Midlands,West Midlands,Solihull,UKG3,West Midlands,London Midland Trains,574392,53,0
9957,MYH,Maryhill,G20 8HL,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,80250,23,0
1582,MTB,Matlock Bath,DE4 5JA,East Midlands,Derbyshire,Derbyshire Dales,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,56054,16,0
2867,MAU,Mauldeth Road,M14 6SQ,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,323098,17,0
9529,MAY,Maybole,KA19 8DS,Scotland,South Ayrshire,South Ayrshire,UKM3,South Western Scotland,First ScotRail,56330,22,0
7221,MES,Melton,IP12 1LT,East,Suffolk,Suffolk Coastal,UKH1,East Anglia,National Express East Anglia,55086,27,0
6297,MGM,Metheringham,LN4 3HX,East Midlands,Lincolnshire,North Kesteven,UKF3,Lincolnshire,East Midlands Trains,109586,12,0
4095,MFH,Milford Haven,SA73 3AB,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,62236,10,0
2750,MLH,Mill Hill (Lancashire),BB2 2QY,North West,Blackburn With Darwen,Blackburn With Darwen,UKD4,Lancashire,Northern Rail,70336,13,0
1527,MIL,Mill Hill Broadway,NW7 2JU,London,Greater London,Barnet,UKI2,Outer London,First Capital Connect,1981008,10,0
1537,MLB,Millbrook (Bedfordshire),MK45 2JJ,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,London Midland Trains,15962,21,0
2920,MIH,Mills Hill,M24 2HJ,North West,Greater Manchester,Rochdale,UKD3,Greater Manchester,Northern Rail,340862,20,0
4469,MFF,Minffordd,LL48 6HG,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,12120,-16,0
6906,MIS,Mistley,CO11 1HH,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,63314,11,0
5069,MTC,Mitcham Eastfields,CR4 2ND ,London,Greater London,Merton,UKI2,Outer London,Southern,620782,40,0
5427,MIJ,Mitcham Junction,CR4 4HN,London,Greater London,Merton,UKI2,Outer London,Southern,387200,17,635
3067,MRS,Monks Risborough,HP27 9JQ,South East,Buckinghamshire,Wycombe,UKJ1,Berkshire Buckinghamshire and Oxfordshire,Chiltern Railways,23542,14,0
2226,MRF,Moorfields,L2 2BS,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,6356766,37,625527
2799,MSD,Moorside,M27 9PU,North West,Greater Manchester,Salford,UKD3,Greater Manchester,Northern Rail,47508,16,0
5825,MRD,Morchard Road,EX17 5LR,South West,Devon,Mid Devon,UKK4,Devon,First Great Western,11458,30,0
2606,MSS,Moses Gate,BL4 7LT,North West,Greater Manchester,Bolton,UKD3,Greater Manchester,Northern Rail,23178,20,0
2973,MSO,Moston,M40 3NB,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,139512,26,0
2158,MLD,Mouldsworth,WA6 9EG,North West,Cheshire,Chester,UKD2,Cheshire,Northern Rail,31552,10,0
8665,MOO,Muir Of Ord,IV6 7ST,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,74462,19,0
8666,NRN,Nairn,IV12 4QS,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,111750,10,0
1247,NAN,Nantwich,CW5 5SS,North West,Cheshire,Crewe And Nantwich,UKD2,Cheshire,Arriva Trains Wales,127230,11,0
7354,NMT,Needham Market,IP6 8AS,East,Suffolk,Mid Suffolk,UKH1,East Anglia,National Express East Anglia,77550,16,0
2565,NEL,Nelson,BB9 9SF,North West,Lancashire,Pendle,UKD4,Lancashire,Northern Rail,129562,11,0
5150,NWX,New Cross,SE14 6LD,London,Greater London,Lewisham,UKI1,Inner London,Southeastern,2345248,14,1575883
5345,NXG,New Cross Gate,SE14 6AR,London,Greater London,Lewisham,UKI1,Inner London,Southern,4009204,33,1509806
6499,NNG,Newark North Gate,NG24 1LS,East Midlands,Nottinghamshire,Newark And Sherwood,UKF1,Derbyshire and Nottinghamshire,East Coast,1087460,11,194895
7038,NMK,Newmarket,CB8 9BB,East,Suffolk,Forest Heath,UKH1,East Anglia,National Express East Anglia,232374,17,0
3523,NQY,Newquay,TR7 2NF,South West,Cornwall And Isles Of Scilly,Restormel,UKK3,Cornwall and Isles of Scilly,First Great Western,115340,15,0
9609,NIT,Nitshill,G53 7NX,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,86774,20,0
7895,NRD,North Road,DL3 6ST,North East,Darlington,Darlington,UKC1,Tees Valley and Durham,Northern Rail,33014,31,0
1422,NWB,North Wembley,HA9 7NT,London,Greater London,Brent,UKI2,Outer London,London Underground,604166,16,0
1111,NFD,Northfield,B31 2PY,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,742524,26,0
6971,NUM,Northumberland Park,N17 0HY,London,Greater London,Haringey,UKI1,Inner London,National Express East Anglia,213556,21,0
2326,NWI,Northwich,CW9 5LY,North West,Cheshire,Vale Royal,UKD2,Cheshire,Northern Rail,190010,10,0
5376,NWD,Norwood Junction,SE25 5AG,London,Greater London,Croydon,UKI2,Outer London,Southern,3385194,13,1167456
7946,NNT,Nunthorpe,TS7 0BL,North East,Redcar And Cleveland,Redcar And Cleveland,UKC1,Tees Valley and Durham,Northern Rail,22304,-10,0
4689,OKN,Oakengates,TF2 6DH,West Midlands,Telford And Wrekin,Telford And Wrekin,UKG2,Shropshire and Staffordshire,London Midland Trains,52214,27,0
5021,ORE,Ore,TN34 3ND,South East,East Sussex,Hastings,UKJ2,Surrey East & West Sussex,Southern,112458,-11,0
2281,OMS,Ormskirk,L39 2YN,North West,Lancashire,West Lancashire,UKD4,Lancashire,Merseyrail,715374,-19,41755
2259,ORR,Orrell,WN5 8TH,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,111958,10,0
2387,PDG,Padgate,WA2 0QS,North West,Warrington,Warrington,UKD2,Cheshire,Northern Rail,91434,14,0
3427,PGN,Paignton,TQ4 5EF,South West,Torbay,Torbay,UKK4,Devon,First Great Western,555180,10,0
9664,PYJ,Paisley St.James,PA3 1RB,Scotland,Renfrewshire,Renfrewshire,UKM3,South Western Scotland,First ScotRail,50436,24,0
